Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Read thru test procedures for BIC/BIP,CTET-4547,81274,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:45 PM,15/Aug/24 8:51 AM,21/Aug/24 9:16 AM,15/Aug/24 8:51 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a460dee,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077ox:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_65203673_*|*_10001_*:*_1_*:*_0,,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,Done,15/Aug/24 8:51 AM
Read thru test procedures for ALC/ALP,CTET-4546,81273,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,John Messina,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,14/Aug/24 2:45 PM,15/Aug/24 8:51 AM,21/Aug/24 9:16 AM,15/Aug/24 8:51 AM,,0,,,,,John Messina,,712020:4b70a496-efcb-45c7-beb0-0d74b9dbff1e,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4163dc93,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2968,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i077op:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_65210170_*|*_10001_*:*_1_*:*_0,,,,78152,24-Q2-KR5.2 - ALC PCBA Tester Built & Tested,Done,15/Aug/24 8:51 AM
Support production ,CTET-4545,81272,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,14/Aug/24 2:39 PM,19/Aug/24 8:50 AM,21/Aug/24 9:16 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13497740,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07811:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,To Do,14/Aug/24 2:39 PM
Help build SDS EOL fixture,CTET-4544,81271,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,14/Aug/24 2:37 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11628d5d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i077o9:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,15/Aug/24 3:39 PM
finish building #2 tester,CTET-4543,81269,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,14/Aug/24 2:35 PM,21/Aug/24 9:00 AM,21/Aug/24 9:16 AM,21/Aug/24 9:00 AM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f6a76e5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i077nt:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_584724311_*|*_10001_*:*_1_*:*_0,,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,21/Aug/24 9:00 AM
Snipe inventory adjsutment,CTET-4542,81267,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,14/Aug/24 1:16 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Tristen Cooley,,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20807457,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077nd:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,21/Aug/24 9:08 AM
Create safety test sheet for all Voltron locations,CTET-4541,81266,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:15 PM,21/Aug/24 9:09 AM,14/Aug/24 1:16 PM,21/Aug/24 9:09 AM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@567852cc,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077n5:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_590022450_*|*_10001_*:*_1_*:*_0,,,,,,Done,21/Aug/24 9:09 AM
Create safety test sheet for BMU EOL (similar to SDS and Inverter),CTET-4540,81265,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:15 PM,21/Aug/24 9:15 AM,14/Aug/24 1:15 PM,,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a1f8b1f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mx:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",To Do,14/Aug/24 1:15 PM
Stock Wire into inventory,CTET-4539,81264,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,14/Aug/24 1:15 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Tristen Cooley,,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a065f48,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077nh:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,15/Aug/24 8:59 AM
Get passing tests on 3 BMU units for Reno box build,CTET-4538,81263,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:14 PM,21/Aug/24 9:15 AM,14/Aug/24 1:14 PM,,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1975cc52,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077mh:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",To Do,14/Aug/24 1:14 PM
Get passing tests on 3 inverter units for Reno box build,CTET-4537,81262,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:14 PM,21/Aug/24 9:15 AM,14/Aug/24 1:14 PM,,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9106259,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077m9:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",In Progress,15/Aug/24 3:36 PM
Assist as needed in Demo setup,CTET-4536,81261,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,14/Aug/24 1:14 PM,21/Aug/24 9:06 AM,21/Aug/24 9:16 AM,21/Aug/24 9:06 AM,,0,,,,,Tristen Cooley,,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39b1b5ca,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ms:9,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_589958163_*|*_10001_*:*_1_*:*_0,,,,,,Done,21/Aug/24 9:06 AM
Pull materials from incoming shipments for Voltron BOM,CTET-4534,81259,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,14/Aug/24 1:13 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Tristen Cooley,,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b6c2d4b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077ne:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,21/Aug/24 9:08 AM
Get passing tests on 3 SDS units for Reno box build,CTET-4533,81258,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:12 PM,21/Aug/24 9:15 AM,14/Aug/24 1:13 PM,,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dac420c,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077ld:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",To Do,14/Aug/24 1:12 PM
Define onsite support plan for 1B testers in CLS with the new dates,CTET-4532,81256,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 1:11 PM,19/Aug/24 9:21 AM,19/Aug/24 9:21 AM,19/Aug/24 9:21 AM,,0,,,[https://generac.sharepoint.com/:x:/r/sites/Generac-CES/_layouts/15/Doc.aspx?sourcedoc={C5668C07-A1B4-4B60-A60C-F6BA029FF95F}&file=CLS Onsite Support Plan - 1B Testers.xlsx&action=default&mobileredirect=true&wdsle=0&ovuser=3a720757-c2fd-40b0-96eb-840507006544%2CAlex.Wong%40generac.com&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNDA2MTMxODQwOCIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D|https://generac.sharepoint.com/:x:/r/sites/Generac-CES/_layouts/15/Doc.aspx?sourcedoc=%7BC5668C07-A1B4-4B60-A60C-F6BA029FF95F%7D&file=CLS%20Onsite%20Support%20Plan%20-%201B%20Testers.xlsx&action=default&mobileredirect=true&wdsle=0&ovuser=3a720757-c2fd-40b0-96eb-840507006544%2CAlex.Wong%40generac.com&clickparams=eyJBcHBOYW1lIjoiVGVhbXMtRGVza3RvcCIsIkFwcFZlcnNpb24iOiI0OS8yNDA2MTMxODQwOCIsIkhhc0ZlZGVyYXRlZFVzZXIiOmZhbHNlfQ%3D%3D],,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21f6206d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077kx:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_1908020_*|*_10000_*:*_1_*:*_416332034_*|*_10001_*:*_1_*:*_0,,,,,,Done,19/Aug/24 9:21 AM
Inventory Audit/Cycle Count,CTET-4531,81255,Task,On Hold,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,Tristen Cooley,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,14/Aug/24 1:09 PM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Tristen Cooley,,712020:0b98aabb-1afa-4ac6-926d-3d12655352b4,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@472ef7f6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i077nf:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,15/Aug/24 8:59 AM
Review kens radian code and hand off implementation to  Zuhair,CTET-4529,81253,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,14/Aug/24 12:37 PM,19/Aug/24 8:36 AM,14/Aug/24 12:38 PM,19/Aug/24 8:36 AM,,0,,,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@716bdafa,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i077k9:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_417513998_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 8:36 AM
Validate reactive power polarity in SDS with manta proto 9,CTET-4528,81252,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,14/Aug/24 12:35 PM,15/Aug/24 3:27 PM,21/Aug/24 9:16 AM,15/Aug/24 3:27 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d7eb92f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077k1:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_96761805_*|*_10001_*:*_1_*:*_0,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",Done,15/Aug/24 3:27 PM
Change DC current signal for higher accuracy,CTET-4527,81251,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,14/Aug/24 11:57 AM,15/Aug/24 3:35 PM,21/Aug/24 9:16 AM,15/Aug/24 3:35 PM,21/Aug/24 12:00 AM,0,,,,,Ardalan Abolfazli,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@470c0022,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077jr:r,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_99498963_*|*_10001_*:*_1_*:*_0,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,15/Aug/24 3:35 PM
